"Table_Number","Year","Measure","Age","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"11A.1","2019-20","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","873.4","875.8","834.3","159.8","160.5","94.1","63.4","34.2","3095.4"
"11A.1","2019-20","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","222.0","213.1","56.8","127.0","117.2","9.6","7.7","3.0","756.3"
"11A.1","2019-20","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","15.6","99.7","14.3","41.2","41.2","4.6","0","1.3","217.9"
"11A.1","2019-20","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1111.0","1188.6","905.4","328.0","318.9","108.3","71.0","38.6","4069.7"
"11A.1","2019-20","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","136.68","178.70","176.48","124.28","181.26","201.70","166.17","157.59","159.46"
"11A.1","2018-19","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","844.9","844.4","682.8","153.1","167.4","77.2","53.7","33.1","2856.6"
"11A.1","2018-19","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","232.5","217.1","123.6","124.0","112.3","9.8","7.0","3.2","829.3"
"11A.1","2018-19","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","22.2","101.4","17.5","31.7","40.1","2.2","0","0.8","216.0"
"11A.1","2018-19","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1099.5","1162.9","823.9","308.8","319.8","89.2","60.6","37.1","3901.9"
"11A.1","2018-19","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","136.66","178.18","163.05","118.49","183.50","167.83","143.08","150.91","154.96"
"11A.1","2017-18","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","835.9","781.9","644.8","148.2","171.6","66.9","45.9","31.3","2726.4"
"11A.1","2017-18","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","222.6","209.2","123.2","122.9","105.7","10.3","6.8","3.6","804.1"
"11A.1","2017-18","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","4.9","99.0","16.8","33.3","40.2","1.5","0","1.0","196.8"
"11A.1","2017-18","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Total revenue","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1063.3","1090.1","784.8","304.4","317.5","78.8","52.8","35.8","3727.3"
"11A.1","2017-18","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Per person in the population","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS Quarterly Population Estimates (ERP)","$","134.33","170.70","158.06","117.76","183.73","150.11","126.83","145.22","150.47"
"11A.1","2016-17","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Government grants","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","762.5","713.5","577.7","143.9","157.6","56.4","40.3","30.1","2482.0"
"11A.1","2016-17","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Transport fees","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","219.4","195.1","126.1","114.7","106.9","9.0","6.9","3.5","781.6"
"11A.1","2016-17","Revenue sources","All ages","All areas","2019-20 dollars","Revenue sources","Subscriptions and other income","","","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","5.5","98.7","16.7","28.7","35.7","2.3","0.2","0.9","188.8"
